ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,,
0.9207,2.3655,9.6622,0.7934,2.3584,9.4857,0.0372,0.0688,0.2906,-0.3336,-0.0966,0.1081,4797,9.1,5.41,-43.41,322.25,-15.85,-4.88,5,44.854,49.00121,8.413026,195,115.8424683,0,10.72,,25-Dec,512,2018-07-11 10:21:21:755,,
0.5472,0.0775,9.7951,0.1788,-0.3568,9.7985,0.3117,0.346,0.3725,-0.9339,0.4577,-0.0629,6685,12.48,15.55,-41.38,322.71,-4.81,-3.82,5,43.683,49.00121,8.413026,195,115.8424683,0,10.72,,25-Dec,1012,2018-07-11 10:21:22:255,,
-0.4207,-0.5765,11.9665,0.2713,0.0515,9.8028,-0.2515,-0.8094,2.1022,1.1536,0.3009,0.0616,8726,10.83,15.24,-41.76,321.38,-0.3,-1.59,5,47.413,49.00121,8.413026,195,115.8424683,0,10.72,,25-Sep,1512,2018-07-11 10:21:22:755,,
1.1825,2.6755,8.2137,1.305,2.7123,9.3333,-0.0583,-0.0387,-0.4985,0.0538,-0.0073,0.0464,5633,5.18,5.54,-43.38,328.89,-16.33,-7.54,5,43.569,49.00121,8.413026,195,115.8424683,0,10.72,,25-Sep,2012,2018-07-11 10:21:23:255,,
1.2402,2.4044,9.784,1.2495,2.563,9.383,-0.0082,-0.1062,0.55,-0.0425,0.0338,0.0222,6256,5.87,5.77,-43.34,325.32,-15.47,-7.71,5,40.508,49.00121,8.413026,195,115.8424683,0,10.72,,25-Sep,2512,2018-07-11 10:21:23:755,,
1.1304,2.4787,9.2979,1.1764,2.5455,9.3972,0.0248,-0.0367,-0.0173,-0.0276,0.0217,-0.0026,6256,6.01,5.98,-43.35,325.52,-15.02,-7.33,5,33.44,49.00121,8.413026,195,115.8424683,0,10.72,,25-Sep,3012,2018-07-11 10:21:24:255,,
1.002,2.4273,9.2106,1.1399,2.4172,9.4355,-0.0858,-0.0081,0.0892,0.0224,0.0305,0.034,6320,5.93,6.48,-43.93,325.38,-14.35,-7.05,5,34.773,49.00119,8.413017,191,115.8424683,0,9.648001,,25-Dec,3512,2018-07-11 10:21:24:755,,
1.0531,2.6101,9.1792,1.1285,2.6962,9.3609,-0.0605,-0.0052,-0.2194,0.0578,0.0387,0.0217,6219,6.91,4.82,-42.56,323.44,-15.96,-6.87,5,37.272,49.00119,8.413017,191,115.8424683,0,9.648001,,25-Dec,4012,2018-07-11 10:21:25:255,,
1.0788,2.6114,9.2766,1.1801,2.6163,9.3772,-0.0709,0.0202,-0.0582,-0.0203,-0.029,-0.0108,6226,6.96,5.14,-42.59,322.58,-15.55,-7.1,5,38.493,49.001175,8.413023,190,115.8424683,0,9.648001,,25-Dec,4513,2018-07-11 10:21:25:756,,
1.1693,2.579,9.1133,1.184,2.6009,9.381,0.0325,-0.0362,0.0114,-0.009,-0.0177,0.0158,6292,6.99,4.91,-42.51,322.21,-15.38,-7.19,5,40.168,49.001175,8.413023,190,115.8424683,0,9.648001,,25-Dec,5013,2018-07-11 10:21:26:256,,
