ACCELEROMETER X (,/s²),ACCELEROMETER Y (,/s²),ACCELEROMETER Z (,/s²),GRAVITY X (,/s²),GRAVITY Y (,/s²),GRAVITY Z (,/s²),LINEAR ACCELERATION X (,/s²),LINEAR ACCELERATION Y (,/s²),LINEAR ACCELERATION Z (,/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (,,x),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azi,,th °),ORIENTATION X (pit,h °),ORIENTATION Y (r,,, °),PROXIMITY (,),SOUND LEVEL (dB),LOCATION Latit,de : ,LOCATION L,ngit,de : ,LOCATION A,tit,de ( ,),LOCATION A,tit,de-g,,g,e ( ,),LOCATION Speed ( ,/s),LOCATION A,,,ra,y ( ,),LOCATION ORIENTATION (°),Sate,,ites in range,Ti,e sin,e start in ,s ,YYYY-MO-DD HH-MI-SS_SSS
0.063049,1.158234,9.835342,0.057164,0.971383,9.758255,0.003802,0.1679,0.016477,-0.004028,-0.00531,0.00029,2147.4836,15.8936,-11.6302,-37.6831,242.7159,-5.4288,-0.3123,5,54.33402,49.011368,8.423296,162.475,NaN,0.52,4.288,237.9,15 / 26,6008,2018-07-03 13:47:01:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.095367,1.190552,9.853287,0.025754,1.071292,9.747926,0.002336,0.092263,-0.008595,-0.00119,0.000198,0.000107,2147.4836,13.2599,-9.7183,-35.5011,245.1957,-6.2087,-0.1503,5,55.00366,49.011368,8.423296,162.475,NaN,0.52,4.288,237.9,15 / 26,6509,2018-07-03 13:47:01:555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.01236,1.137878,9.868851,0.031058,1.123522,9.742028,-0.009388,0.023894,0.010535,-0.001373,0.000732,-0.000076,2147.4836,11.0474,-7.4585,-34.5718,248.0519,-6.5444,-0.1967,5,53.64444,49.011364,8.423285,164.3477,NaN,1.37,4.288,252,15 / 26,7009,2018-07-03 13:47:02:055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.029526,1.160629,9.829346,0.027284,1.145405,9.739491,-0.007962,0.005561,0.006308,-0.001007,0.000916,-0.000076,2147.4836,8.9722,-4.5776,-34.1598,263.7407,-6.7074,-0.1605,5,58.15644,49.011364,8.423285,164.3477,NaN,1.37,4.288,252,15 / 26,7508,2018-07-03 13:47:02:554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02594,1.073242,9.843719,0.022467,1.134233,9.74081,0.012839,-0.016064,-0.003347,0.000229,0.013336,-0.00061,2147.4836,8.1055,-2.7557,-36.0092,278.4835,-6.6839,-0.1566,5,58.58385,49.011368,8.423272,165.5546,NaN,1.68,4.288,261,16 / 26,8008,2018-07-03 13:47:03:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.028336,1.133087,9.782669,0.031009,1.120179,9.742414,-0.011743,-0.009192,0.017925,0.001297,0.004272,0.00029,2147.4836,10.5576,-2.8687,-42.984,279.8184,-6.559,-0.1824,5,58.36865,49.011368,8.423272,165.5546,NaN,1.68,4.288,261,16 / 26,8509,2018-07-03 13:47:03:555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.035522,1.153442,9.770691,0.04534,1.118482,9.742553,-0.001414,0.025041,-0.020227,0.000229,-0.007095,-0.000427,2147.4836,11.5128,-5.9372,-45.636,280.3777,-6.5241,-0.2832,5,58.16051,49.011375,8.423235,164.8818,NaN,2.25,5.36,258.5,16 / 26,9009,2018-07-03 13:47:04:055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.120514,1.129501,9.781464,0.087418,1.122649,9.741786,0.043585,-0.025428,-0.015382,-0.002441,0.003204,0.000809,2147.4836,13.1302,-7.7835,-48.1338,259.7031,-6.6109,-0.4698,5,59.84117,49.011375,8.423235,164.8818,NaN,2.25,5.36,258.5,16 / 26,9509,2018-07-03 13:47:04:555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.115723,1.089996,9.927521,0.072111,1.089753,9.745646,0.023251,-0.015257,0.066189,-0.002441,0.007294,0.001526,2147.4836,10.0479,-12.0926,-46.5622,237.0332,-6.3801,-0.4239,5,60.922,49.011337,8.423161,164.7516,NaN,4.91,5.36,239.9,16 / 26,10008,2018-07-03 13:47:05:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.005188,1.042114,9.719223,0.030513,1.055516,9.749633,-0.00384,-0.011002,0.000093,-0.001541,-0.001755,-0.000244,2147.4836,8.2764,-9.3994,-36.5524,238.694,-6.2124,-0.2067,5,61.82868,49.011337,8.423161,164.7516,NaN,4.91,5.36,239.9,16 / 26,10508,2018-07-03 13:47:05:554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.019958,1.037323,9.682114,0.035807,1.064903,9.748594,-0.000316,-0.006565,-0.168356,0.002899,-0.005844,-0.001846,2147.4836,7.5974,-5.7755,-31.2378,252.1348,-6.2125,-0.1981,5,62.08527,49.011307,8.423085,163.16,NaN,6.09,5.36,239.4,16 / 27,11008,2018-07-03 13:47:06:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.051086,0.961914,9.995743,0.061278,1.058663,9.749146,0.032814,-0.061105,0.160071,0.008392,0.00322,-0.002563,2147.4836,5.571,-0.6439,-37.7045,296.4516,-6.1974,-0.3601,5,61.67864,49.011307,8.423085,163.16,NaN,6.09,5.36,239.4,16 / 27,11508,2018-07-03 13:47:06:554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
